total_t,total_f,prep_t,prep_f,minor_t,minor_f,teach_q_t,teach_q_f,vdip_t,vdip_f,ip_t,dip_f,bsc_t,bsc_f,hdip_t,hdip_f,msc_t,Msc_f,phd_t,phd_f,program_en,program_ar,prog_isced2,prog_isced1,inst,inst_type
13,9,,,,,,,,,,,13,9,,,,,,,Design and Applied Arts,التصميم والفنون التطبيقية,"الفنون
Arts","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة فلسطين التقنية خضوري - العروب
Palestine Technical University-Kadoori / Al- Aroub","كليات جامعية
University Colleges"
97,54,,,,,,,,,97,54,,,,,,,,,Media Technology,تكنولوجيا الإعلام,"الصحافة والإعلام
Journalism & Information","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة فلسطين التقنية خضوري - العروب
Palestine Technical University-Kadoori / Al- Aroub","كليات جامعية
University Colleges"
102,47,,,,,,,,,,,102,47,,,,,,,تكنولوجيا الاعلام ,تكنولوجيا الاعلام ,"الصحافة والإعلام
Journalism & Information","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة فلسطين التقنية خضوري - العروب
Palestine Technical University-Kadoori / Al- Aroub","كليات جامعية
University Colleges"
44,39,,,,,,,,,44,39,,,,,,,,,Management & Office Automation ,إدارة وأتمتة المكاتب,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة فلسطين التقنية خضوري - العروب
Palestine Technical University-Kadoori / Al- Aroub","كليات جامعية
University Colleges"
25,13,,,,,,,,,25,13,,,,,,,,,Banking & Finance Management,الإدارة المالية والمصرفية,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة فلسطين التقنية خضوري - العروب
Palestine Technical University-Kadoori / Al- Aroub","كليات جامعية
University Colleges"
56,25,,,,,,,,,56,25,,,,,,,,,Technical Accounting,المحاسبة التقنية,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة فلسطين التقنية خضوري - العروب
Palestine Technical University-Kadoori / Al- Aroub","كليات جامعية
University Colleges"
34,22,,,,,,,,,,,34,22,,,,,,,,العلوم المالية والمصرفية المحوسبة,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة فلسطين التقنية خضوري - العروب
Palestine Technical University-Kadoori / Al- Aroub","كليات جامعية
University Colleges"
20,16,,,,,,,,,,,20,16,,,,,,,Business Administration and Electronic Commerce,ادارة الاعمال والتجارة الاكترونية ,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة فلسطين التقنية خضوري - العروب
Palestine Technical University-Kadoori / Al- Aroub","كليات جامعية
University Colleges"
6,5,,,,,,,,,,,6,5,,,,,,,Applied Mathematics,الرياضيات التطبيقية,"الرياضيات والإحصاء
Mathematics & Statistics","العلوم
Science","جامعة فلسطين التقنية خضوري - العروب
Palestine Technical University-Kadoori / Al- Aroub","كليات جامعية
University Colleges"
49,33,,,,,,,,,49,33,,,,,,,,,تكنولوجيا الوسائط المتعددة,تكنولوجيا الوسائط المتعددة,"الحاسوب والمعلوماتية
Computing","العلوم
Science","جامعة فلسطين التقنية خضوري - العروب
Palestine Technical University-Kadoori / Al- Aroub","كليات جامعية
University Colleges"
74,43,,,,,,,,,,,74,43,,,,,,,أنظمة المعلومات الحاسوبية ,أنظمة المعلومات الحاسوبية ,"الحاسوب والمعلوماتية
Computing","العلوم
Science","جامعة فلسطين التقنية خضوري - العروب
Palestine Technical University-Kadoori / Al- Aroub","كليات جامعية
University Colleges"
10,5,,,,,,,,,,,10,5,,,,,,,Applied Computing,الحوسبة التطبيقية ,"الحاسوب والمعلوماتية
Computing","العلوم
Science","جامعة فلسطين التقنية خضوري - العروب
Palestine Technical University-Kadoori / Al- Aroub","كليات جامعية
University Colleges"
61,45,,,,,,,,,61,45,,,,,,,,,التصنيع الغذائي,التصنيع الغذائي,"التصنيع والصناعات التحويلية
Manufacturing & Processing","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","جامعة فلسطين التقنية خضوري - العروب
Palestine Technical University-Kadoori / Al- Aroub","كليات جامعية
University Colleges"
5,3,,,,,,,,,,,5,3,,,,,,,Food Processing Technology,تكنولوجيا التصنيع الغذائي,"التصنيع والصناعات التحويلية
Manufacturing & Processing","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","جامعة فلسطين التقنية خضوري - العروب
Palestine Technical University-Kadoori / Al- Aroub","كليات جامعية
University Colleges"
18,5,,,,,,,,,,,18,5,,,,,,,Horticulture and Agricultural Extension,البستنة والارشاد الزراعي,"الزراعة والغابات والصيد
Agriculture, Forestry & Fishry","الزراعة
Agriculture","جامعة فلسطين التقنية خضوري - العروب
Palestine Technical University-Kadoori / Al- Aroub","كليات جامعية
University Colleges"
54,54,,,,,,,,,54,54,,,,,,,,,Fashions Design & Manufacturing,تصميم الأزياء وتصنيع الملابس,"الفنون
Arts","الدراسات الإنسانية والفنون
Humanities & Arts","كلية فلسطين التقنية - دير البلح
Palestinian Technical College - Deir-Elbalah","كليات جامعية
University Colleges"
8,,,,,,,,,,8,,,,,,,,,,T.V Arts,فنون التلفزيون,"الفنون
Arts","الدراسات الإنسانية والفنون
Humanities & Arts","كلية فلسطين التقنية - دير البلح
Palestinian Technical College - Deir-Elbalah","كليات جامعية
University Colleges"
149,40,,,,,,,,,149,40,,,,,,,,, الوسائط المتعددة والرسوم المتحركة, الوسائط المتعددة والرسوم المتحركة,"الفنون
Arts","الدراسات الإنسانية والفنون
Humanities & Arts","كلية فلسطين التقنية - دير البلح
Palestinian Technical College - Deir-Elbalah","كليات جامعية
University Colleges"
34,9,,,,,,,,,,,34,9,,,,,,,الإعلام الإذاعي والتلفزيوني,الإعلام الإذاعي والتلفزيوني,"الصحافة والإعلام
Journalism & Information","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","كلية فلسطين التقنية - دير البلح
Palestinian Technical College - Deir-Elbalah","كليات جامعية
University Colleges"
94,31,,,,,,,,,94,31,,,,,,,,,الإعلام الرقمي,الإعلام الرقمي,"الصحافة والإعلام
Journalism & Information","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","كلية فلسطين التقنية - دير البلح
Palestinian Technical College - Deir-Elbalah","كليات جامعية
University Colleges"
330,203,,,,,,,,,330,203,,,,,,,,,Management & Office Automation ,إدارة وأتمتة المكاتب,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","كلية فلسطين التقنية - دير البلح
Palestinian Technical College - Deir-Elbalah","كليات جامعية
University Colleges"
173,61,,,,,,,,,173,61,,,,,,,,,Accounting & Insurance,المحاسبة والتأمين,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","كلية فلسطين التقنية - دير البلح
Palestinian Technical College - Deir-Elbalah","كليات جامعية
University Colleges"
125,68,,,,,,,,,,,125,68,,,,,,,E-Managment, إدارة الأعمال الالكترونية,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","كلية فلسطين التقنية - دير البلح
Palestinian Technical College - Deir-Elbalah","كليات جامعية
University Colleges"
32,17,,,,,,,,,,,32,17,,,,,,,المحاسبة والتمويل,المحاسبة والتمويل,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","كلية فلسطين التقنية - دير البلح
Palestinian Technical College - Deir-Elbalah","كليات جامعية
University Colleges"
45,6,,,,,,,,,45,6,,,,,,,,,Web Pages Design & Development,تصميم وتطوير مواقع إنترنت,"الحاسوب والمعلوماتية
Computing","العلوم
Science","كلية فلسطين التقنية - دير البلح
Palestinian Technical College - Deir-Elbalah","كليات جامعية
University Colleges"
44,7,,,,,,,,,,,44,7,,,,,,,المعلومات والاتصالات,المعلومات والاتصالات,"الحاسوب والمعلوماتية
Computing","العلوم
Science","كلية فلسطين التقنية - دير البلح
Palestinian Technical College - Deir-Elbalah","كليات جامعية
University Colleges"
99,48,,,,,,,,,,,99,48,,,,,,,Computer System Engineering,هندسة أنظمة الحاسوب,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","كلية فلسطين التقنية - دير البلح
Palestinian Technical College - Deir-Elbalah","كليات جامعية
University Colleges"
121,,,,,,,,,,121,,,,,,,,,,الصيانة الإلكترونيه,الصيانة الإلكترونيه,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","كلية فلسطين التقنية - دير البلح
Palestinian Technical College - Deir-Elbalah","كليات جامعية
University Colleges"
56,,,,,,,,,,56,,,,,,,,,, مساعد مهندس تبريد وتكييف, مساعد مهندس تبريد وتكييف,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","كلية فلسطين التقنية - دير البلح
Palestinian Technical College - Deir-Elbalah","كليات جامعية
University Colleges"
82,,,,,,,,,,82,,,,,,,,,,التركيبات الكهربائية,التركيبات الكهربائية,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","كلية فلسطين التقنية - دير البلح
Palestinian Technical College - Deir-Elbalah","كليات جامعية
University Colleges"
25,4,,,,,,,,,25,4,,,,,,,,,Food and Beverage Management ,إدارة الطعام والشراب,"الخدمات الشخصية
Personal Services","الخدمات
Services","كلية فلسطين التقنية - دير البلح
Palestinian Technical College - Deir-Elbalah","كليات جامعية
University Colleges"
1,,,,,,,,,,1,,,,,,,,,,الإيواء,الإيواء,"الخدمات الشخصية
Personal Services","الخدمات
Services","كلية فلسطين التقنية - دير البلح
Palestinian Technical College - Deir-Elbalah","كليات جامعية
University Colleges"
130,108,,,,,,,,,,,130,108,,,,,,,علوم التغذية والصحة العامة,علوم التغذية والصحة العامة,"الخدمات الشخصية
Personal Services","الخدمات
Services","كلية فلسطين التقنية - دير البلح
Palestinian Technical College - Deir-Elbalah","كليات جامعية
University Colleges"
111,68,,,,,,,,,111,68,,,,,,,,,Interior Design,التصميم الداخلي -الديكور,"الفنون
Arts","الدراسات الإنسانية والفنون
Humanities & Arts","الكلية الجامعية للعلوم والتكنولوجيا /خانيونس
University College of Science & Technology - Khan - Younis","كليات جامعية
University Colleges"
91,30,,,,,,,,,91,30,,,,,,,,,Business Administration ,إدارة الأعمال,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","الكلية الجامعية للعلوم والتكنولوجيا /خانيونس
University College of Science & Technology - Khan - Younis","كليات جامعية
University Colleges"
132,97,,,,,,,,,132,97,,,,,,,,,Management & Office Automation ,إدارة وأتمتة المكاتب,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","الكلية الجامعية للعلوم والتكنولوجيا /خانيونس
University College of Science & Technology - Khan - Younis","كليات جامعية
University Colleges"
120,20,,,,,,,,,120,20,,,,,,,,,Accounting,المحاسبة,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","الكلية الجامعية للعلوم والتكنولوجيا /خانيونس
University College of Science & Technology - Khan - Younis","كليات جامعية
University Colleges"
36,,,,,,,,,,36,,,,,,,,,,Programming & Databases,البرمجيات وقواعد البيانات,"الحاسوب والمعلوماتية
Computing","العلوم
Science","الكلية الجامعية للعلوم والتكنولوجيا /خانيونس
University College of Science & Technology - Khan - Younis","كليات جامعية
University Colleges"
27,6,,,,,,,,,,,27,6,,,,,,,Information Technology,تكنولوجيا المعلومات,"الحاسوب والمعلوماتية
Computing","العلوم
Science","الكلية الجامعية للعلوم والتكنولوجيا /خانيونس
University College of Science & Technology - Khan - Younis","كليات جامعية
University Colleges"
132,32,,,,,,,,,132,32,,,,,,,,,Multi–Media Technology,تكنولوجيا الوسائط المتعددة,"الحاسوب والمعلوماتية
Computing","العلوم
Science","الكلية الجامعية للعلوم والتكنولوجيا /خانيونس
University College of Science & Technology - Khan - Younis","كليات جامعية
University Colleges"
35,,,,,,,,,,35,,,,,,,,,,Computer Networks And Technical Support,شبكات الحاسوب والدعم الفني,"الحاسوب والمعلوماتية
Computing","العلوم
Science","الكلية الجامعية للعلوم والتكنولوجيا /خانيونس
University College of Science & Technology - Khan - Younis","كليات جامعية
University Colleges"
38,7,,,,,,,,,38,7,,,,,,,,,Websites Management And Development,إدارة وتطوير مواقع الإنترنت,"الحاسوب والمعلوماتية
Computing","العلوم
Science","الكلية الجامعية للعلوم والتكنولوجيا /خانيونس
University College of Science & Technology - Khan - Younis","كليات جامعية
University Colleges"
12,,,,,,,,,,12,,,,,,,,,,Computer Engineering,هندسة الحاسوب,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","الكلية الجامعية للعلوم والتكنولوجيا /خانيونس
University College of Science & Technology - Khan - Younis","كليات جامعية
University Colleges"
42,,,,,,,,,,42,,,,,,,,,,Refrigeration and Air Conditioning Engineering,هندسة التبريد والتكييف,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","الكلية الجامعية للعلوم والتكنولوجيا /خانيونس
University College of Science & Technology - Khan - Younis","كليات جامعية
University Colleges"
63,,,,,,,,,,63,,,,,,,,,,Solar  Energy Technology,تكنولوجيا الطاقة الشمسية,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","الكلية الجامعية للعلوم والتكنولوجيا /خانيونس
University College of Science & Technology - Khan - Younis","كليات جامعية
University Colleges"
53,,,,,,,,,,53,,,,,,,,,,Civil Engineering,الهندسة المدنية,"العمارة والبناء
Architecture & Building","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","الكلية الجامعية للعلوم والتكنولوجيا /خانيونس
University College of Science & Technology - Khan - Younis","كليات جامعية
University Colleges"
3,,,,,,,,,,3,,,,,,,,,,Architecture Engineering,الهندسة المعمارية,"العمارة والبناء
Architecture & Building","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","الكلية الجامعية للعلوم والتكنولوجيا /خانيونس
University College of Science & Technology - Khan - Younis","كليات جامعية
University Colleges"
62,1,,,,,,,,,,,62,1,,,,,,,Building Engineering    ,هندسة المباني,"العمارة والبناء
Architecture & Building","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","الكلية الجامعية للعلوم والتكنولوجيا /خانيونس
University College of Science & Technology - Khan - Younis","كليات جامعية
University Colleges"
352,245,,,,,,,,,352,245,,,,,,,,,Secretary & Medical Records,السكرتاريا والسجل الطبي,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","الكلية الجامعية للعلوم والتكنولوجيا /خانيونس
University College of Science & Technology - Khan - Younis","كليات جامعية
University Colleges"
351,172,,,,,,,,,351,172,,,,,,,,,Pharmacy ,الصيدلة,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","الكلية الجامعية للعلوم والتكنولوجيا /خانيونس
University College of Science & Technology - Khan - Younis","كليات جامعية
University Colleges"
93,73,,,,,,,,,93,73,,,,,,,,,Medical Laboratory Science,المختبرات الطبية,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","الكلية الجامعية للعلوم والتكنولوجيا /خانيونس
University College of Science & Technology - Khan - Younis","كليات جامعية
University Colleges"
2,,,,,,,,,,2,,,,,,,,,,Health Inspection ,المراقبة الصحية,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","الكلية الجامعية للعلوم والتكنولوجيا /خانيونس
University College of Science & Technology - Khan - Younis","كليات جامعية
University Colleges"
19,19,,,,,,,,,19,19,,,,,,,,,Nutrition and Food Technology,التغذية وتكنولوجيا الغذاء,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","الكلية الجامعية للعلوم والتكنولوجيا /خانيونس
University College of Science & Technology - Khan - Younis","كليات جامعية
University Colleges"
119,111,,,,,,,,,,,119,111,,,,,,,Medical Laboratory Science,العلوم الطبية المخبرية,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","الكلية الجامعية للعلوم والتكنولوجيا /خانيونس
University College of Science & Technology - Khan - Younis","كليات جامعية
University Colleges"
17,17,,,,,,,,,,,17,17,,,,,,,Technology Education,التربية التكنولوجية,"تدريب المعلمين
Teacher Training","التربية
Education","كلية فلسطين التقنية - رام الله للبنات
Palestinian Technical College - Ramallah /Girls","كليات جامعية
University Colleges"
25,25,,,,,,,,,25,25,,,,,,,,,Physical Education,التربية الرياضية,"تدريب المعلمين
Teacher Training","التربية
Education","كلية فلسطين التقنية - رام الله للبنات
Palestinian Technical College - Ramallah /Girls","كليات جامعية
University Colleges"
55,45,,,,,,,,,,,55,45,,,,,,,physical education,التربية الرياضية ,"تدريب المعلمين
Teacher Training","التربية
Education","كلية فلسطين التقنية - رام الله للبنات
Palestinian Technical College - Ramallah /Girls","كليات جامعية
University Colleges"
36,34,,,,,,,,,36,34,,,,,,,,,Graphics Design,التصميم الجرافيكي,"الفنون
Arts","الدراسات الإنسانية والفنون
Humanities & Arts","كلية فلسطين التقنية - رام الله للبنات
Palestinian Technical College - Ramallah /Girls","كليات جامعية
University Colleges"
33,30,,,,,,,,,33,30,,,,,,,,,Interior Design,التصميم الداخلي -الديكور,"الفنون
Arts","الدراسات الإنسانية والفنون
Humanities & Arts","كلية فلسطين التقنية - رام الله للبنات
Palestinian Technical College - Ramallah /Girls","كليات جامعية
University Colleges"
81,80,,,,,,,,,,,81,80,,,,,,,التصميم والفنون التطبيقية,التصميم والفنون التطبيقية,"الفنون
Arts","الدراسات الإنسانية والفنون
Humanities & Arts","كلية فلسطين التقنية - رام الله للبنات
Palestinian Technical College - Ramallah /Girls","كليات جامعية
University Colleges"
21,16,,,,,,,,,21,16,,,,,,,,,التصوير السينمائي,التصوير السينمائي,"الفنون
Arts","الدراسات الإنسانية والفنون
Humanities & Arts","كلية فلسطين التقنية - رام الله للبنات
Palestinian Technical College - Ramallah /Girls","كليات جامعية
University Colleges"
12,12,,,,,,,,,12,12,,,,,,,,,المونتاج,المونتاج,"الفنون
Arts","الدراسات الإنسانية والفنون
Humanities & Arts","كلية فلسطين التقنية - رام الله للبنات
Palestinian Technical College - Ramallah /Girls","كليات جامعية
University Colleges"
4,4,,,,,,,,,4,4,,,,,,,,,,الصوت,"الفنون
Arts","الدراسات الإنسانية والفنون
Humanities & Arts","كلية فلسطين التقنية - رام الله للبنات
Palestinian Technical College - Ramallah /Girls","كليات جامعية
University Colleges"
25,24,,,,,,,,,25,24,,,,,,,,,,تصميم ازياء,"الفنون
Arts","الدراسات الإنسانية والفنون
Humanities & Arts","كلية فلسطين التقنية - رام الله للبنات
Palestinian Technical College - Ramallah /Girls","كليات جامعية
University Colleges"
24,22,,,,,,,,,24,22,,,,,,,,,,لغة الاشارة,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","كلية فلسطين التقنية - رام الله للبنات
Palestinian Technical College - Ramallah /Girls","كليات جامعية
University Colleges"
61,52,,,,,,,,,61,52,,,,,,,,,Accounting,المحاسبة,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","كلية فلسطين التقنية - رام الله للبنات
Palestinian Technical College - Ramallah /Girls","كليات جامعية
University Colleges"
125,124,,,,,,,,,,,125,124,,,,,,,Technical  Administration,الإدارة التقنية,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","كلية فلسطين التقنية - رام الله للبنات
Palestinian Technical College - Ramallah /Girls","كليات جامعية
University Colleges"
56,49,,,,,,,,,,,56,49,,,,,,,,علوم مالية ومصرفيةمحوسبة,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","كلية فلسطين التقنية - رام الله للبنات
Palestinian Technical College - Ramallah /Girls","كليات جامعية
University Colleges"
130,121,,,,,,,,,130,121,,,,,,,,,Technical Management,الادارة  التقنية,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","كلية فلسطين التقنية - رام الله للبنات
Palestinian Technical College - Ramallah /Girls","كليات جامعية
University Colleges"
55,41,,,,,,,,,,,55,41,,,,,,,Business Administration and Electronic Commerce,ادارة الاعمال والتجارة الالكترونية ,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","كلية فلسطين التقنية - رام الله للبنات
Palestinian Technical College - Ramallah /Girls","كليات جامعية
University Colleges"
11,11,,,,,,,,,11,11,,,,,,,,,Programming & Databases,البرمجيات وقواعد البيانات,"الحاسوب والمعلوماتية
Computing","العلوم
Science","كلية فلسطين التقنية - رام الله للبنات
Palestinian Technical College - Ramallah /Girls","كليات جامعية
University Colleges"
57,43,,,,,,,,,,,57,43,,,,,,,Accounting Information Systems,انظمة المعلومات المحاسبية,"الحاسوب والمعلوماتية
Computing","العلوم
Science","كلية فلسطين التقنية - رام الله للبنات
Palestinian Technical College - Ramallah /Girls","كليات جامعية
University Colleges"
